City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temp,Wind Speed
243,adrar,0,MR,1580519153,10,20.5,-10.07,63.54,11.48
244,barra do corda,90,BR,1580519048,96,-5.5,-45.25,72.88,3.62
245,sao filipe,0,CV,1580519153,44,14.9,-24.5,78.69,10.42
246,muisne,100,EC,1580519153,88,0.6,-80.03,76.86,3.87
247,pasaje,90,EC,1580519153,88,-3.33,-79.82,83.3,5.82
248,kyra,0,RU,1580519154,76,49.58,111.98,-15.41,5.57
249,morehead,90,US,1580519154,87,37.27,-87.18,42.46,1.39
250,subang,97,ID,1580519154,91,-7.13,108.53,71.98,2.19
251,adelaide,90,AU,1580519121,93,-34.93,138.6,65.86,13.87
252,yorkton,20,CA,1580519154,79,51.22,-102.47,32.0,17.22
253,luanda,75,AO,1580519154,78,-8.84,13.23,80.6,3.36
254,faya,20,SA,1580519154,76,18.39,42.45,55.4,13.87
255,iqaluit,90,CA,1580519155,70,63.75,-68.51,-5.42,3.36
256,virginia beach,90,US,1580519155,65,36.85,-75.98,45.43,4.7
257,gat,40,IL,1580518981,76,31.61,34.76,50.31,6.93
258,salima,100,MW,1580518924,81,-13.78,34.46,71.65,9.71
259,sesheke,94,ZM,1580519155,100,-17.48,24.3,66.2,1.12
260,rasulabad,0,IN,1580519155,93,26.75,80.48,46.4,4.21
261,kysyl-syr,98,RU,1580519155,98,63.9,122.76,-16.4,4.56
262,sao joao da barra,100,BR,1580519156,89,-21.64,-41.05,78.12,12.93
263,datong,0,CN,1580519156,49,40.09,113.29,15.39,5.01
264,san andres,40,CO,1580519156,69,12.58,-81.7,82.4,9.17
265,manggar,95,ID,1580519156,79,-2.88,108.27,81.91,9.75
266,jumla,0,NP,1580519156,72,29.27,82.18,18.09,4.47
267,tonj,39,SS,1580519157,17,7.27,28.68,71.58,6.49
268,praia da vitoria,75,PT,1580519157,88,38.73,-27.07,64.4,26.17
269,bavleny,75,RU,1580519157,96,56.4,39.56,21.72,3.51
270,kurikka,90,FI,1580519157,92,62.58,22.42,30.97,11.41
271,mangai,68,CD,1580519157,78,-4.05,19.53,73.76,0.72
272,termoli,0,IT,1580519157,77,41.99,14.99,50.92,7.36
273,takoradi,13,GH,1580519157,89,4.88,-1.76,78.03,2.71
274,handan,94,CN,1580519157,59,36.6,114.47,36.81,10.27
275,bud,90,US,1580519158,93,39.45,-86.18,36.99,3.36
276,hambantota,20,LK,1580519158,100,6.12,81.12,69.8,3.36
277,zhob,0,PK,1580519158,45,31.34,69.45,31.77,2.08
278,kurilsk,86,RU,1580519158,82,45.23,147.88,25.79,19.35
279,fallon,75,US,1580519158,44,39.47,-118.78,56.16,4.7
280,banjar,40,ID,1580519158,83,-8.19,114.97,84.2,3.36
281,saskylakh,99,RU,1580519159,97,71.92,114.08,-21.6,10.38
282,champerico,20,GT,1580519159,62,14.3,-91.92,86.0,6.93
283,ilo,0,PE,1580518862,82,-17.64,-71.34,73.65,7.9
284,hamilton,90,US,1580519159,93,39.18,-84.53,35.8,3.36
285,asau,41,RO,1580519159,87,46.43,26.4,38.48,4.7
286,kaka,14,TM,1580519159,44,37.35,59.61,45.5,3.36
287,cao bang,90,VN,1580519159,80,22.67,106.25,55.15,0.98
288,provideniya,100,RU,1580519160,98,64.38,-173.3,-11.25,7.4
289,santa helena,99,BR,1580519160,99,-2.23,-45.3,72.18,2.15
290,shirokiy,99,RU,1580519160,95,49.76,129.52,-10.3,3.8
291,broken hill,60,AU,1580519160,41,-31.95,141.43,95.0,21.92
292,katsuura,20,JP,1580519161,29,35.13,140.3,49.41,16.11
293,bengkulu,55,ID,1580519161,86,-3.8,102.27,74.82,3.15
294,husavik,90,IS,1580519161,98,66.04,-17.34,32.0,3.36
295,kemise,90,ET,1580519161,67,10.72,39.87,64.45,1.61
296,mwinilunga,98,ZM,1580519161,97,-11.74,24.43,61.59,1.74
297,souillac,40,MU,1580519162,83,-20.52,57.52,76.98,6.93
298,rio gallegos,100,AR,1580518922,71,-51.62,-69.22,55.4,4.7
299,wolfsberg,66,AT,1580519162,92,46.84,14.84,31.68,1.12
300,fortuna,1,US,1580519162,82,40.6,-124.16,57.56,4.23
301,pingzhuang,0,CN,1580519162,62,42.04,119.29,11.88,4.16
302,itarare,64,BR,1580519163,99,-24.11,-49.33,73.0,3.89
303,malabo,20,GQ,1580519163,88,3.75,8.78,77.0,5.82
304,araouane,0,ML,1580519163,14,18.9,-3.53,69.6,10.42
305,torbay,90,CA,1580519113,79,47.67,-52.73,19.76,13.87
306,collie,0,AU,1580519163,32,-33.37,116.15,66.33,4.74
307,alofi,40,NU,1580519163,74,-19.06,-169.92,86.0,10.29
308,mareeba,40,AU,1580519164,62,-17.0,145.43,85.03,11.41
309,oranjemund,95,NA,1580519164,86,-28.55,16.43,63.82,9.62
310,vanimo,100,PG,1580518866,87,-2.67,141.3,78.21,12.35
311,vardo,75,NO,1580519164,72,70.37,31.11,12.2,11.41
312,aksu,0,CN,1580519164,69,41.12,80.26,22.14,2.08
313,leningradskiy,96,RU,1580519164,97,69.38,178.42,-22.61,5.21
314,whitianga,21,NZ,1580519164,60,-36.83,175.7,84.0,10.0
315,sitka,90,US,1580519165,80,57.05,-135.33,33.04,3.85
316,walvis bay,13,NA,1580519165,87,-22.96,14.51,62.42,4.7
317,big spring,1,US,1580519165,34,32.25,-101.48,46.99,6.93
318,narsaq,1,GL,1580518985,45,60.92,-46.05,1.4,9.17
319,leninskoye,6,RU,1580519165,89,47.94,132.62,-5.51,1.36
320,kitami,75,JP,1580519165,73,43.8,143.89,24.8,16.11
321,rawson,0,AR,1580519166,77,-43.3,-65.1,62.13,8.43
322,semporna,75,MY,1580519166,83,4.48,118.61,78.8,2.24
323,seydi,47,TM,1580519166,49,39.48,62.91,44.91,15.41
324,shingu,40,JP,1580519166,45,33.73,135.98,44.6,18.34
325,pangody,21,RU,1580519167,98,65.85,74.49,-21.51,6.96
326,logrono,40,ES,1580518948,76,42.47,-2.45,56.93,9.17
327,kayerkan,40,RU,1580519167,74,69.35,87.76,-25.6,8.95
328,willowmore,84,ZA,1580519167,79,-33.29,23.49,60.19,4.68
329,tamale,4,GH,1580519167,10,9.4,-0.84,77.63,7.76
330,kamenka,100,RU,1580519167,96,51.32,42.77,33.01,4.0
331,kenai,1,US,1580519167,66,60.55,-151.26,15.33,8.55
332,salinas,1,US,1580518977,55,36.68,-121.66,64.53,10.29
333,cordele,90,US,1580519168,93,31.96,-83.78,43.56,8.05
334,liverpool,75,GB,1580519053,87,53.41,-2.98,50.4,6.93
335,visnes,100,NO,1580519168,93,59.36,5.22,46.69,16.11
336,mahon,26,ES,1580519168,93,39.89,4.27,50.0,4.7
337,luderitz,44,NA,1580519168,87,-26.65,15.16,63.97,22.95
338,acarau,100,BR,1580519169,94,-2.89,-40.12,72.61,1.03
339,auki,100,SB,1580519169,96,-8.77,160.7,77.7,9.93
340,svetlyy,75,RU,1580519169,93,54.67,20.13,41.0,11.18
341,maragogi,82,BR,1580519169,77,-9.01,-35.22,81.9,11.74
342,labuhan,100,ID,1580519169,90,-6.88,112.21,76.87,2.68
343,miracema do tocantins,22,BR,1580519169,85,-9.56,-48.4,76.01,1.92
344,talara,2,PE,1580519169,91,-4.58,-81.27,74.25,13.94
345,bereda,75,ES,1580519170,82,43.27,-7.54,59.07,12.75
346,qinzhou,98,CN,1580519170,76,21.95,108.62,59.31,6.58
347,kruisfontein,95,ZA,1580519170,91,-34.0,24.73,64.29,5.21
348,tomislavgrad,40,BA,1580519170,86,43.72,17.23,41.54,1.12
349,falun,100,SE,1580519170,93,60.6,15.63,36.1,6.93
350,lagos,15,NG,1580519144,88,6.58,3.75,80.6,4.09
351,inhambane,97,MZ,1580519171,77,-23.86,35.38,78.04,11.9
352,mumford,18,GH,1580519171,92,5.26,-0.76,77.94,1.79
353,dano,12,BF,1580519171,12,11.15,-3.07,72.75,5.97
354,ust-nera,100,RU,1580519171,100,64.57,143.2,-29.0,1.61
355,henties bay,53,NA,1580519171,88,-22.12,14.28,64.0,1.99
356,waterford,90,US,1580518931,87,42.7,-83.4,30.65,2.26
357,petropavlovsk-kamchatskiy,56,RU,1580519172,51,53.05,158.65,10.4,2.24
358,west bay,20,KY,1580519172,78,19.37,-81.42,79.88,8.05
359,kralendijk,17,BQ,1580519172,78,12.15,-68.27,80.6,18.34
360,mahibadhoo,87,MV,1580519172,70,3.78,72.97,81.09,10.94
